Nombre Producto,Precio Compra,Precio Venta,Código,ID Categoría,Detalles,Stock,Talla
Camiseta Polo de Algodón,15.00,25.00,,1,Camiseta de algodón premium 100%,50,M
Pantalón Jean Azul,30.00,55.00,,2,Pantalón azul clásico con bolsillos,30,32
Zapatos Deportivos Running,40.00,85.00,,3,Zapatos para correr con excelente comodidad,20,NA
Sudadera Gris Oscuro,25.00,45.00,,1,Sudadera con bolsillo frontal,15,L
Jeans Negros Slim Fit,35.00,65.00,,2,Jeans negros modelo slim fit,25,34
Tenis Casual Blanco,45.00,95.00,,3,Tenis casual blanco con suela antideslizante,18,NA
Camiseta Blanca Básica,10.00,18.00,,1,Camiseta blanca básica 100% algodón,100,S
Shorts de Verano,20.00,35.00,,2,Shorts cortos ideales para verano,40,M
Zapatillas de Casa,15.00,28.00,,3,Zapatillas cómodas para usar en casa,50,NA
Chaqueta de Cuero Negro,120.00,250.00,,1,Chaqueta de cuero genuino premium,8,L
